"","KnowledgeAssessmentID","RecentVersion","KnowledgeAssessmentName","ExamID","QuestionName","CorrectAnswer","QuestionID","TaxonomyURIorName","SME_assignment","tiebreaker"
"1","4c318720-943d-417d-9395-0e73f39398de",1,"RN: Oncology Assessment",483,"A 36-year-old female patient is taking tamoxifen (Soltamox&reg;) for metastatic breast cancer. A potential side effect of this medication is:","hot flashes.","c16a7327-881d-4eb0-a756-fc3dcf8c1232","Nursing: Registered Nurse - RN","SME 1","SME 3"
"2","968f57d0-5085-46b4-8341-e528086e9216",2,"RN: Home Health Assessment",513,"When the home health nurse assesses the patient with an indwelling catheter, the patient&#39;s provider needs to know that the:","patient reports burning and pain.","b2b1ad22-1c2f-4965-bbc8-5fcd468434a4","Infection Control","SME 1","SME 3"
"3","2ca33ed7-9bc2-44e0-bae1-5cec06ac306d",1,"Lab: Phlebotomy Technician Assessment",252,"The phlebotomist should not release the tourniquet until all the blood has been collected, the needle withdrawn, and the tubes properly labeled.","FALSE","c3e1fef0-3d98-4ba4-aadc-e2b8ad3c716a","Laboratory","SME 1","SME 3"
"4","03e80540-ad72-44ce-9742-871513339429",1,"RN: Case Manager Assessment",507,"HIPAA is an acronym for:","Health Insurance Portability and Accountability Act.","484daec1-de6e-409a-9168-99e93a60eff5","Care Coordination","SME 1","SME 3"
"5","68ec3bbe-b95f-48c9-a6f6-7bd0ee6dbdb7",1,"Pharmacology: Corrections RN Assessment",521,"Hydrocortisone (Solu-Cortef&reg;) 35 mg IM is ordered to treat inflammation. Hydrocortisone (Solu-Cortef&reg;) is available as 250 mg/10 mL. How many milliliters should be administered?","1.4 mL","b26f69e2-3c57-4956-9828-a5c45ebe1ccb","Nursing: Registered Nurse - RN","SME 1","SME 3"
"6","68c2c0e0-0308-4ec6-b820-0e421da089d7",1,"RN: Perioperative Assessment",508,"The primary safety consideration for positioning equipment is its:","ability to redistribute pressure.","41784053-5902-4d3d-9127-596283cc92c5","Perioperative","SME 1","SME 3"
"7","2ca33ed7-9bc2-44e0-bae1-5cec06ac306d",1,"Lab: Phlebotomy Technician Assessment",252,"Acceptable patient identifiers include the patient&#39;s verbal statement of his name, the patient&#39;s ID band, and the requisition form.","TRUE","5a6a9c54-ff42-48d8-ba90-8f8a8518b453","Phlebotomist","SME 1","SME 3"
"8","9d9c78e4-7966-4d37-a437-b1b516e9d3ef",1,"Respiratory: Respiratory Therapist Assessment",285,"A patient’s pulse drops from 92 to 54 beats per minute when a suction catheter is inserted into the oropharynx. The most likely cause of this is:","vagal stimulation.","1d16c595-e191-40b9-b10e-6a5812d33649","Respiratory Therapist","SME 1","SME 3"
"9","03e80540-ad72-44ce-9742-871513339429",1,"RN: Case Manager Assessment",507,"In 2014, __________ adults had a substance use disorder.","20.2 million","1b0a83de-dcc6-4297-9a43-86b4efabeee6","Case Management","SME 1","SME 3"
"10","36ca386d-6fa4-4a00-ade4-e571b067eaa8",1,"RN: ICU Neonatal Assessment",239,"New NRP guidelines direct that the pulse oximeter be used at every birth. Of the following options, which is the preferred placement for the probe that will best measure the amount of brain oxygenation?"," Right hand or wrist","02015355-d41a-433f-9051-ae4ac570ea7d","Nursing: Registered Nurse - RN","SME 1","SME 3"
"11","c383d71b-444e-4ba3-80a9-624d5244c4aa",2,"Allied: Medical Assistant Assessment",501,"When taking measures to reduce a patient&#39;s pain, what may a medical assistant do without a provider’s order?","Reduce noise and disturbance","7dc9a51d-a2d9-47e6-a432-573203b0ff4a","Allied: Medical Assistant Assessment","SME 1","SME 3"
"12","72864d5c-c90a-4220-8c86-5bd105e4aa01",1,"Cardiac Rhythm Identification - Basic Assessment",421,"<img width='900'  border='0' src='http://www.healthstream.com/content/nursecompetency/Rhythms/PATs.jpg' />","Paroxysmal atrial tachycardia (PAT)","586b7d81-50b5-4005-b9d2-afaabd1e441e","Cardiac Rhythms","SME 1","SME 3"
"13","3ff08c60-5caf-4c76-8a22-d230ab85c542",3,"Allied: Cardiovascular Technologist Assessment",482,"Peaked T waves on a 12-lead ECG most likely represent:","hyperkalemia.","e4992754-5eac-43c0-a01d-96a2f06361bb","Diagnostic Tests","SME 1","SME 3"
"14","f5cbc637-10bb-43e1-8413-2f64af5fe936",2,"RN: ICU Cardiovascular Assessment",379,"For which of the following conditions is a patient at risk if the pulmonary artery catheter migrates distally and becomes persistently wedged?","Pulmonary infarction","20628ff9-5586-48e4-a82c-e5eb6a2ba8fb","Cardiac Care","SME 1","SME 3"
"15","8483903c-7c30-4715-8463-481a277d224c",1,"RN: ICU Pediatric Assessment",253,"Which medication is commonly prescribed with spironolactone (Aldactone&reg;)?","Furosemide (Lasix&reg;)","bfa468c1-7188-4b96-a997-a2d7bd7f3539","Pediatric Critical Care","SME 1","SME 3"
"16","68ec3bbe-b95f-48c9-a6f6-7bd0ee6dbdb7",1,"Pharmacology: Corrections RN Assessment",521,"The nurse has received an order for penicillin v potassium (Penicillin-VK&reg;) suspension 0.75 g. The drug is available as 250 mg/5 mL. How many milliliters should be given?","15 mL","69d22fec-ebcf-4f6c-9888-bb7babf3ff04","Nursing: Registered Nurse - RN","SME 1","SME 3"
"17","dd5f6814-a43c-4d8a-bf88-d91121d3478b",1,"Therapy: Speech Language Pathologist Assessment",469,"Delayed auditory feedback causes a person to:","reduce the rate of speech.","edcb06b2-39c2-44c5-8809-11221bcbaa68","Speech-Language Pathologist","SME 1","SME 3"
"18","67012535-ad91-47b8-b70c-2244d9e59529",1,"Therapy: Occupational Therapist (OT) Assessment",523,"Stress reduction techniques used to assist with anxiety management include:","sleeping 6-8 hours each night.","2b2afb41-07e2-4b75-9a11-3051dcec3bad","Occupational Therapist","SME 1","SME 3"
"19","8b82e5e0-004c-4868-a54e-8be898285796",2,"Allied: Dietician Assessment",480,"Water is a macronutrient that makes up at least 45-75% of an individual’s body weight.  When body water is lost, a person can become dehydrated. If 10% of an individual’s body water is lost, which progressive effects of dehydration are likely to occur?","Swollen tongue, delirium, and muscle spasms","bdd23291-ccb0-464d-86b1-0f2768f9584c","http://healthstream.poolparty.biz/HSTMTaxonomy/e72add83-fb20-4b61-9a13-0c21aab77e76","SME 1","SME 3"
