"","KnowledgeAssessmentID","RecentVersion","KnowledgeAssessmentName","ExamID","QuestionName","CorrectAnswer","QuestionID","TaxonomyURIorName"
"1","a709bd73-be3e-4c70-abe0-6fb4525e2358",1,"Allied: Behavioral Health Technician Assessment",479,"What is the maximum rate of chest compressions per minute when performing one-rescuer CPR?","120","69677b92-7b79-4560-8fa3-4a8a63fa6990","Psychiatric Technician"
"2","a709bd73-be3e-4c70-abe0-6fb4525e2358",1,"Allied: Behavioral Health Technician Assessment",479,"Which of the following statements is true about the diagnosis of post-traumatic stress disorder in the DSM-V?","The diagnosis was removed from the category of anxiety disorders.","bccb2cb0-e6fb-4a4e-8f38-f89ec2f9dd5c","Psychiatric Technician"
"3","a709bd73-be3e-4c70-abe0-6fb4525e2358",2,"Allied: Behavioral Health Technician Assessment",479,"Marie, an individual on the psychiatric unit, tells the behavioral health technician that she is feeling suicidal. The behavioral health technician should:","report what Marie said to the charge nurse.","f2524493-0c8f-4d3e-b9cb-7e5c403d181d","http://healthstream.poolparty.biz/HSTMTaxonomy/d64811fb-81b1-4a60-b141-ab8e158fd694"
"4","a709bd73-be3e-4c70-abe0-6fb4525e2358",1,"Allied: Behavioral Health Technician Assessment",479,"Which of the following terms is used to describe a set of standards used in professional settings that treats all blood and other bodily fluids as potentially infectious?","Universal precautions","f3f08e6b-6750-4967-bb2d-195e0d0256a5","Psychiatric Aide"
"5","a709bd73-be3e-4c70-abe0-6fb4525e2358",1,"Allied: Behavioral Health Technician Assessment",479,"In order to reach the diagnostic threshold for a hypomanic episode, symptoms of abnormally and persistently elevated, expansive, and irritable mood and increased energy and activity must last for:","4 days.","66ad2ea7-694f-4eb8-a9b9-746391d0e585","Psychiatric Aide"
"6","a709bd73-be3e-4c70-abe0-6fb4525e2358",2,"Allied: Behavioral Health Technician Assessment",479,"Neuroadaptation refers to:","the lasting changes that occur in the brain as a result of drug use.","1713b026-0894-4df0-ad7b-071a01a70e78","http://healthstream.poolparty.biz/HSTMTaxonomy/162ff70f-65c3-4734-80a8-cfa52823c37a"
"7","a709bd73-be3e-4c70-abe0-6fb4525e2358",1,"Allied: Behavioral Health Technician Assessment",479,"Hallucinations are:","nbsp;false&nbsp;perceptions.","eb257d9c-4eb3-425a-b6b1-afe3f79dfae3","Behavioral Health"
"8","3ff08c60-5caf-4c76-8a22-d230ab85c542",1,"Allied: Cardiovascular Technologist Assessment",482,"Which type of cardiomyopathy can involve amyloid or sarcoid deposits within the myocardium?","Restrictive","619393fa-284f-40e3-bb7e-5f360236c3e4","Cardiovascular Technologist and Technician"
"9","3ff08c60-5caf-4c76-8a22-d230ab85c542",1,"Allied: Cardiovascular Technologist Assessment",482,"While reading through a patient’s chart before a cardiac catheterization procedure, you note that the patient is insulin-dependent, using NPH insulin. Insulin dependence will make the patient more prone to a major reaction to:","protamine.","57918d92-11e6-4200-97ac-136f1f596294","Cardiovascular Technologist and Technician"
"10","3ff08c60-5caf-4c76-8a22-d230ab85c542",2,"Allied: Cardiovascular Technologist Assessment",482,"Normal mean pressure in the pulmonary artery is:","15 mmHg.","f2cbef4d-2a30-4f4c-8513-a5b3f1ff3cd2","Cardiac Care"
"11","3ff08c60-5caf-4c76-8a22-d230ab85c542",1,"Allied: Cardiovascular Technologist Assessment",482,"Injection of air into the coronary arteries during angiography may result in:","myocardial ischemia.","71092669-721a-4855-9baa-a9931dbe930e","Vascular Access"
"12","3ff08c60-5caf-4c76-8a22-d230ab85c542",3,"Allied: Cardiovascular Technologist Assessment",482,"An indication for peripheral arterial balloon angioplasty is:","lifestyle-limiting claudication.","26fc48c7-8243-49dc-8792-5f1111b389f4","HealthStream Assess"
"13","3ff08c60-5caf-4c76-8a22-d230ab85c542",1,"Allied: Cardiovascular Technologist Assessment",482,"What condition puts the patient at increased risk of developing contrast-induced nephropathy?","Diabetes","38f56520-cefb-4b7f-8e95-a268f0667480","Cardiac Care"
"14","3ff08c60-5caf-4c76-8a22-d230ab85c542",3,"Allied: Cardiovascular Technologist Assessment",482,"National Patient Safety Goals from The Joint Commission apply to procedural areas, including cardiac catheterization labs. As part of adhering to these goals, the staff of cardiac catheterization labs must always:","use two patient identifiers when administering medications or procedures.","acb85754-c6f8-47fa-8154-313b7505ea84","The Joint Commission"
"15","8b82e5e0-004c-4868-a54e-8be898285796",3,"Allied: Dietician Assessment",480,"Thiamine is a vitamin that aids in the functioning of the muscles, heart, and nervous system. Physical signs of thiamine deficiency include cardiovascular system impairment, which has many precursors. Abuse of which substance is more likely to lead to thiamine deficiency?","Alcohol","cd2e89a3-1230-43d6-a157-94556dc40f2c","Dietitian and Nutritionist"
"16","8b82e5e0-004c-4868-a54e-8be898285796",3,"Allied: Dietician Assessment",480,"Which of the following is considered a fat-soluble vitamin?","Vitamin A","7416291d-c3bb-43d2-92a5-2d8426bd3cb7","Dietitian and Nutritionist"
"17","8b82e5e0-004c-4868-a54e-8be898285796",2,"Allied: Dietician Assessment",480,"What nutrients will be most difficult to obtain when clients follow a strict vegan eating plan?","Calories","f7e1d66f-b5b1-4e86-ae44-e5b247d3972c","http://healthstream.poolparty.biz/HSTMTaxonomy/e72add83-fb20-4b61-9a13-0c21aab77e76"
"18","8b82e5e0-004c-4868-a54e-8be898285796",2,"Allied: Dietician Assessment",480,"Bacteria have unique characteristics, including the ability to live and grow even if food is cooked. At what temperature is food quality/palatability maintained and the majority of bacteria are rendered unable to grow?","140° F","55370c1f-3100-435e-ac08-80fc7d46dc9d","http://healthstream.poolparty.biz/HSTMTaxonomy/e72add83-fb20-4b61-9a13-0c21aab77e76"
"19","8b82e5e0-004c-4868-a54e-8be898285796",1,"Allied: Dietician Assessment",480,"Gastric bezoars have a very low incidence with varying composition. They are more likely to occur in the case of a limited number of pathological situations. There are several evidence-based methods to treat bezoars. Which of the following evidence-based treatments is the least invasive?","Lavage with Coca-Cola®","16753234-90d0-4ed4-b805-14f1d0651bdc","Dietitian and Nutritionist"
"20","8b82e5e0-004c-4868-a54e-8be898285796",3,"Allied: Dietician Assessment",480,"Functional foods are thought to provide benefits beyond basic nutrition and may play a role in reducing or minimizing the risk of certain diseases and other health conditions. What do red grapes, grape juice, and red wine contain that associates them with a reduced risk of cancer and cardiovascular disease?","Resveratrol","84553c09-20f3-4531-a499-ad4f65baad42","Dietitian and Nutritionist"
"21","8b82e5e0-004c-4868-a54e-8be898285796",2,"Allied: Dietician Assessment",480,"The Centers for Medicare & Medicaid Services (CMS) is in the process of updating the Long Term Care (LTC) regulations. One of the amended Phase I regulations states that person-centered patient care plans must be developed by an interdisciplinary team including ___________________ personnel in addition to the resident, attending physician, nurse, nurse aide, and resident representative as part of the team.","food and nutrition services","40d679af-d09f-45ff-b9a8-c24a38cb60e6","http://healthstream.poolparty.biz/HSTMTaxonomy/e72add83-fb20-4b61-9a13-0c21aab77e76"
"22","94996daa-4d78-426d-b732-95a551489e50",3,"Allied: Emergency Medical Technician Assessment",396,"The greatest risk factor that may lead to a serious crash while driving an emergency vehicle is:","excessive speed.","6a359c3d-b5f3-4f2c-992d-0085de9061e8","Emergency Medical Technicians and Paramedic"
"23","94996daa-4d78-426d-b732-95a551489e50",1,"Allied: Emergency Medical Technician Assessment",396,"Two EMTs are at the scene with an unresponsive patient when one of the EMTs suddenly clutches his chest, collapses, and becomes unresponsive.  Which of the following should the other EMT do next?","Begin treating the fallen EMT and call for additional assistance.","31ce7912-3d8b-474f-84f7-e74560e7199d","Emergency Medical Technicians and Paramedic"
"24","94996daa-4d78-426d-b732-95a551489e50",3,"Allied: Emergency Medical Technician Assessment",396,"While the EMT is completing a reassessment (ongoing exam), the patient says he cannot understand why the EMT needs to check his vitals again. Why should the EMT suggest the patient consider allowing continued assessment?","It will help the EMT decide if a different treatment is necessary.","616cc3c3-56e8-42a6-b99c-715f42e60f10","Patient Education"
"25","94996daa-4d78-426d-b732-95a551489e50",3,"Allied: Emergency Medical Technician Assessment",396,"The EMT has a patient with a fracture of the left femur; the bone end is protruding from the skin. Since this is an open fracture rather than a closed fracture, which of the following complications is least likely to develop as a result of this injury?","Compartment syndrome","84e8170f-d9c7-4c9a-8e2b-7b41b19f52a8","Emergency Medical Technicians and Paramedic"
"26","94996daa-4d78-426d-b732-95a551489e50",3,"Allied: Emergency Medical Technician Assessment",396,"The EMT is assessing a patient that reports abdominal pain, musculoskeletal pain, and priapism.  The patient is also very pale and appears to have a severe respiratory infection. Which of the following conditions should the EMT suspect?","Sickle cell crisis","1335e359-384b-4605-8f76-5695a717825d","Emergency Medical Technicians and Paramedic"
"27","94996daa-4d78-426d-b732-95a551489e50",3,"Allied: Emergency Medical Technician Assessment",396,"The EMT is caring for a young adult patient with acute dyspnea that is suspected to be caused by hyperventilation syndrome. The patient denies any previous medical history and is normally very healthy. Which of the following best supports the EMT’s conclusion of hyperventilation syndrome?","Spasms of the hands and feet","753cc092-6b12-4d47-88ce-1d63b7192eef","Clinical Basics"
"28","94996daa-4d78-426d-b732-95a551489e50",3,"Allied: Emergency Medical Technician Assessment",396,"For the child weighing 7 kg, which piece of equipment should be used to obtain a blood pressure?","An infant blood pressure cuff","28f5ad0b-b5fe-4433-bba2-bac64e6839ed","Allied: Emergency Medical Technician Assessment"
"29","c383d71b-444e-4ba3-80a9-624d5244c4aa",2,"Allied: Medical Assistant Assessment",501,"In order to count respirations properly, the medical assistant should:","observe and count the rise and fall of the chest while positioned for taking the patient's pulse.","178e4c56-5ad8-4892-b4b9-3890745a7ec8","Medical Assistant"
"30","c383d71b-444e-4ba3-80a9-624d5244c4aa",1,"Allied: Medical Assistant Assessment",501,"What is the name of an allergic reaction that results in severe bronchospasm, drop in blood pressure, and dyspnea?","Anaphylaxis","a0db6cfd-2173-4327-9654-d972ce993998","Emergency: Respiratory"
"31","c383d71b-444e-4ba3-80a9-624d5244c4aa",1,"Allied: Medical Assistant Assessment",501,"Where is the vastus lateralis muscle located?","Thigh","63433e3f-6d2e-402c-926f-cd554609d0ee","Clinical Basics"
"32","c383d71b-444e-4ba3-80a9-624d5244c4aa",2,"Allied: Medical Assistant Assessment",501,"What is the purpose of the acromion process when giving injections?","Landmark used in giving deltoid injections","dc5cf5fd-f23a-4d67-b69b-9d3c2db04167","Allied: Medical Assistant Assessment"
"33","c383d71b-444e-4ba3-80a9-624d5244c4aa",1,"Allied: Medical Assistant Assessment",501,"Autoclave tape has an indicator stripe that will change color after exposure to high temperatures for a long enough period of time for the item(s) to become sterile.","TRUE","3009d5b3-451b-4223-95e7-df23eb500681","Medical Assistant"
"34","c383d71b-444e-4ba3-80a9-624d5244c4aa",2,"Allied: Medical Assistant Assessment",501,"What is included in a complete blood count (CBC)?","RBC, WBC, Hct, Hgb, and differential","43410964-37e9-4dcb-a64f-6e61db663c53","HealthStream Assess"
